doc_id,major_large,major_small,company,season,job_large,job_small,school,extra_spec,pro_rating,doc_url
3844,자연/공학/의약계열,수학/통계학,롯데멤버스(주),2015년 하반기,마케팅·광고·홍보,마케팅·광고·분석,해외대학,"['학점 3.5/4.5', '자격증 1개', '인턴 1회', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/143805
3845,예체능계열,예체능계열(기타),대한항공,2017년 하반기,영업·고객상담,제품·서비스영업,서울4년,"['학점 3.15/4.5', '토익 725', '자격증 2개', '수상 1회', '자원봉사 1회']",3.0,https://www.jobkorea.co.kr/starter/PassAssay/View/194510
3846,자연/공학/의약계열,IT/컴퓨터공학,롯데IT테크(주),2015년 상반기,IT·인터넷,시스템프로그래머,지방4년,"['학점 3.24/4.5', '오픽 IM2', '자격증 4개', '인턴 1회', '수상 3회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/167800
3847,인문/사회계열,국제통상/경상,GS리테일,2016년 하반기,무역·유통,유통·물류·재고,수도권4년,"['학점 3.9/4.5', '토익 945', '자격증 1개']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/167589
3848,자연/공학/의약계열,전자전기공학,엘아이지넥스원(주),2019년 하반기,IT·인터넷,소프트웨어·하드웨어,대학원,"['학점 3.83/4.5', '토익 855', '자격증 1개', '해외경험 1회', '인턴 1회', '수상 2회', '동아리 2회']",3.0,https://www.jobkorea.co.kr/starter/PassAssay/View/199810
3849,인문/사회계열,국제통상/경상,현대글로비스(주),2016년 하반기,무역·유통,유통·물류·재고,서울4년,"['학점 3.9/4.5', '토익 945', '자격증 1개']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/167591
3850,인문/사회계열,경영학,데상트코리아(주),2018년 하반기,마케팅·광고·홍보,마케팅·광고·분석,수도권4년,"['학점 3.51/4.5', '토익 795']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/197174
3851,자연/공학/의약계열,기계/항공,코오롱인더스트리㈜,2021년 하반기,연구개발·설계,기계설계·CAD·CAM,대학원,"['학점 4.26/4.5', '토익 765', '오픽 IM2', '수상 1회', '교내활동 1회', '사회활동 1회', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/238072
3852,인문/사회계열,경영학,(주)삼양사,2020년 하반기,영업·고객상담,영업관리·지원·영업기획,서울4년,"['학점 3.79/4.5', '토익 970', '오픽 IH', '자격증 2개', '해외경험 1회', '인턴 2회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/238465
3853,자연/공학/의약계열,IT/컴퓨터공학,(주)넥슨코리아,2015년 하반기,IT·인터넷,응용프로그래머,수도권4년,"['학점 3.4/4.5', '토익 885', '자격증 1개', '인턴 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/143882
3854,인문/사회계열,인문계열(기타),SK하이닉스(주),2016년 하반기,연구개발·설계,반도체·디스플레이,서울4년,"['학점 3.8/4.5', '토익 920', '오픽 IH', '제2외국어 1개', '자격증 1개']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/167835
3855,자연/공학/의약계열,IT/컴퓨터공학,(주)신세계,2017년 상반기,서비스,시설·보안·경비·안전,지방4년,"['학점 2.5/4.5', '자격증 1개', '수상 1회', '자원봉사 1회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/189856
3856,자연/공학/의약계열,전자전기공학,(주)LG화학,2018년 상반기,생산·제조,생산관리·공정관리·품질관리,서울4년,"['학점 3.79/4.5', '토익 780', '토스 Level6', '인턴 1회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/195335
3857,자연/공학/의약계열,화학공학/생명공학,기아(주),2021년 상반기,영업·고객상담,영업관리·지원·영업기획,서울4년,"['학점 3.87/4.5', '토익 860', '오픽 IH', '자격증 2개', '수상 2회', '동아리 1회', '교내활동 1회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/236561
3858,인문/사회계열,경영학,현대건설(주),2016년 하반기,경영·사무,재무·세무·IR,수도권4년,"['학점 3.9/4.5', '토익 990', '오픽 AL', '인턴 1회', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/147107
3859,인문/사회계열,경영학,신한투자증권,2016년 상반기,영업·고객상담,금융·보험영업,서울4년,"['학점 3.5/4.5', '토익 640', '토스 Level6', '자격증 1개']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/147235
3860,자연/공학/의약계열,IT/컴퓨터공학,㈜지마켓,2017년 하반기,IT·인터넷,웹프로그래머,지방4년,"['학점 3.47/4.5', '오픽 IL', '인턴 1회', '수상 1회']",4.0,https://www.jobkorea.co.kr/starter/PassAssay/View/193710
3861,자연/공학/의약계열,기계/항공,(주)이랜드건설,2016년 상반기,생산·제조,생산관리·공정관리·품질관리,지방4년,"['학점 3.8/4.5', '오픽 M2', '자격증 1개', '수상 3회', '자원봉사 2회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/146174
3862,인문/사회계열,인문계열(기타),GS칼텍스(주),2017년 하반기,생산·제조,생산·제조·설비·조립,지방4년,"['학점 3.77/4.5', '토익 805', '토스 Level6', '자격증 1개', '수상 1회', '자원봉사 1회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/192728
3863,인문/사회계열,경제학,현대위아(주),2015년 하반기,경영·사무,경리·회계·결산,서울4년,"['학점 4.2/4.5', '오픽 IH', '해외경험 1회', '인턴 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/145119
3864,기타,기타,한국전력기술(주),2017년 상반기,연구개발·설계,전기·전자·제어,고졸,"['자격증 4개', '자원봉사 2회']",5.0,https://www.jobkorea.co.kr/starter/PassAssay/View/191592
3865,자연/공학/의약계열,IT/컴퓨터공학,(주)국민은행,2019년 하반기,IT·인터넷,응용프로그래머,서울4년,"['학점 3.07/4.5', '해외경험 1회', '인턴 1회', '동아리 1회']",3.0,https://www.jobkorea.co.kr/starter/PassAssay/View/199720
3866,인문/사회계열,인문계열(기타),현대파워텍(주),2016년 하반기,생산·제조,생산관리·공정관리·품질관리,서울4년,"['학점 3.8/4.5', '토익 920', '오픽 IH', '제2외국어 1개', '자격증 1개']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/167831
3867,인문/사회계열,경제학,(주)아모레퍼시픽,2015년 하반기,영업·고객상담,영업관리·지원·영업기획,서울4년,"['학점 3/4.5', '토익 840', '토스 Level6', '자격증 4개']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/143907
3868,기타,기타,(주)아모레퍼시픽,2016년 상반기,경영·사무,인사·노무·교육,대졸4년,"['학점 3.7/4.5', '토익 930']",3.0,https://www.jobkorea.co.kr/starter/PassAssay/View/146280
3869,자연/공학/의약계열,기계/항공,SK하이닉스(주),2018년 상반기,연구개발·설계,반도체·디스플레이,지방4년,"['학점 4.23/4.5', '토익 760', '오픽 IM1', '자격증 2개']",4.0,https://www.jobkorea.co.kr/starter/PassAssay/View/196236
